"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"832666","occ","","","92309","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Olenekian","","251.2","247.2","31113"
"832667","occ","","","92310","Thelegnathus n. sp. spinigenis","species","139041","recombined as","Teratophon spinigenis","species","139041","Anisian","","247.2","242","31115"
"832669","occ","","","92312","Thelegnathus n. sp. contritus","species","139040","recombined as","Thelephon contritus","species","139040","Anisian","","247.2","242","31115"
"832670","occ","","","92313","Thelegnathus n. sp. oppressus","species","139038","recombined as","Thelerpeton oppressus","species","139038","Anisian","","247.2","242","31115"
"832671","occ","","","92313","Thelegnathus n. sp. perforatus","species","139039","recombined as","Theledectes perforatus","species","139039","Anisian","","247.2","242","31115"
"833075","occ","","","92419","n. gen. Colubrifer n. sp. campi","species","157358","invalid subgroup of","Owenetta","genus","37521","Changhsingian","Olenekian","254.14","247.2","31151"
"833134","occ","","","92429","n. gen. Pentaedrusaurus n. sp. ordosianus","species","157396","","Pentaedrusaurus ordosianus","species","157396","Olenekian","Anisian","251.2","242","31163"
"833223","occ","","","92436","Eumetabolodon bathycephalus","species","154291","","Eumetabolodon bathycephalus","species","154291","Anisian","","247.2","242","7511"
"833317","occ","","","92480","n. gen. Neoprocolophon n. sp. asiaticus","species","100382","","Neoprocolophon asiaticus","species","100382","Anisian","","247.2","242","24277"
"833385","occ","","","92491","n. gen. Barasaurus n. sp. besairiei","species","157552","","Barasaurus besairiei","species","157552","Lopingian","","259.51","251.902","31179"
"833484","occ","","","92493","Barasaurus besairiei","species","157552","","Barasaurus besairiei","species","157552","Induan","Smithian","251.902","248.9","31180"
"833588","occ","","","89863","Owenetta rubidgei","species","136937","","Owenetta rubidgei","species","136937","Wuchiapingian","Changhsingian","259.51","251.902","26950"
"833640","occ","","","80826","Owenetta cf. rubidgei","species","136937","","Owenetta rubidgei","species","136937","Wuchiapingian","","259.51","254.14","26950"
"837002","occ","","","92807","n. gen. Candelaria n. sp. barbouri","species","158939","","Candelaria barbouri","species","158939","Ladinian","","242","237","31325"
"837006","occ","","","92809","Candelaria barbouri","species","158939","","Candelaria barbouri","species","158939","Ladinian","","242","237","31325"
"837482","occ","","","92888","n. gen. Koiloskiosaurus n. sp. coburgiensis","species","139847","","Koiloskiosaurus coburgiensis","species","139847","Aegean","","247.2","245.5","31349"
"838751","occ","","","93104","n. gen. Tichvinskia n. sp. vjatkensis","species","160840","","Tichvinskia vjatkensis","species","160840","Olenekian","","251.2","247.2","31386"
